ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
36137,7/3/14,2014,F,M.a.lorentzi,74.07,4.305010592,600,184,41040,0
36136,7/3/14,2014,F,M.a.lorentzi,84.93,4.441827388,480,184,12300,0
36141,7/4/14,2014,F,M.a.lorentzi,97.29,4.577696209,480,185,9900,0
36107,6/25/14,2014,F,M.a.moretoni,114.78,4.743017253,420,176,38100,0
36142,7/4/14,2014,F,M.a.lorentzi,121.44,4.799420314,240,185,39780,0
11030,6/5/14,2014,F,M.a.moretoni,135,4.905274778,480,156,7560,0
36001,7/15/14,2014,M,M.a.moretoni,135.64,4.910004317,360,196,35400,0
36041,6/6/14,2014,M,M.a.moretoni,158.25,5.064176061,540,157,6420,0
11031,7/18/14,2014,F,M.a.moretoni,164.39,5.102241654,240,199,10200,1
11039,6/14/14,2014,F,M.a.moretoni,181.67,5.202191854,540,165,39000,0
36132,6/26/14,2014,M,M.a.moretoni,193.83,5.266981486,360,177,36180,1
36032,6/13/14,2014,F,M.a.moretoni,228.82,5.432935668,600,164,1500,0
36155,7/18/14,2014,F,M.a.moretoni,307.83,5.729547683,480,199,2520,1
36124,6/22/14,2014,F,M.a.moretoni,333.13,5.808532804,1080,173,3480,0
11026,8/2/14,2014,F,M.a.moretoni,339.44,5.827297201,1020,214,1620,1
36097,6/10/14,2014,M,M.a.moretoni,389.17,5.964016266,840,161,40200,0
36099,7/18/14,2014,M,M.a.moretoni,410.84,6.018203844,240,199,42180,1
36004,6/4/14,2014,F,M.a.moretoni,484.94,6.184025172,480,155,13920,1
36169,7/24/14,2014,F,M.a.moretoni,488.79,6.191932949,540,205,3240,1
36103,7/16/14,2014,F,M.a.moretoni,541.09,6.293585624,960,197,600,1
36126,6/26/14,2014,F,M.a.moretoni,696.81,6.546512777,720,177,4620,1
36040,7/15/14,2014,M,M.a.moretoni,1133,7.032624261,240,196,1380,1
11024,7/14/14,2014,M,M.a.moretoni,1175.24,7.069227661,600,195,6240,1
36121,6/17/14,2014,M,M.a.moretoni,2558.94,7.847348389,780,168,3000,1
36163,2/16/16,2016,F,M.a.moretoni,59.13,4.07973841,366,47,2943,0
