"","Trial_Sex","Date","Time","Subspecies","Sex","MntM","MntF","Song_actual","BreedYN","Mount_Pheno","Sex_Mount_Pheno","duet_song_rate","total_T_less_5_proportion","Duet_lat","Flyby_proportion","lat_5","Leapfrog_prop"
"1","B1601_M","3/4/16","8:30","M.a.lorentzi","M","B1","A2","2_M.a.lorentzi","N","Unornamented","M_Unornamented",0,0,NA,0,NA,0
"2","B1601_F","3/4/16","8:30","M.a.lorentzi","F","B1","A2","2_M.a.lorentzi","N","Unornamented","F_Unornamented",0,0,NA,0,NA,0
"3","B1602_M","3/4/16","9:33","M.a.lorentzi","M","B2","A3","1_M.a.lorentzi","N","Unornamented","M_Unornamented",0.003030582,0.86313,20.160137,0,8.111771,0.00606116425709981
"4","B1602_F","3/4/16","9:33","M.a.lorentzi","F","B2","A3","1_M.a.lorentzi","N","Unornamented","F_Unornamented",0.001515291,0.839840147,38.342611,0,11.157903,0.00606116425709981
"5","B1605_M","3/4/16","18:00","M.a.lorentzi","M","B3","A2","2_M.a.lorentzi","N","Unornamented","M_Unornamented",0,0.085742237,NA,0,92.88244,0
"6","B1605_F","3/4/16","18:00","M.a.lorentzi","F","B3","A2","2_M.a.lorentzi","N","Unornamented","F_Unornamented",0,0,NA,0,NA,0
"7","B1606_F","3/5/16","8:30","M.a.lorentzi","F","B4","A2","1_M.a.lorentzi","N","Unornamented","F_Unornamented",0,0.078349438,NA,0,146.406297,0
"8","B1610_M","3/5/16","7:00","M.a.lorentzi","M","B3","A2","6_M.a.lorentzi","N","Unornamented","M_Unornamented",0,0.068387267,NA,0.004169988,84.411102,0
"9","B1610_F","3/5/16","7:00","M.a.lorentzi","F","B3","A2","6_M.a.lorentzi","N","Unornamented","F_Unornamented",0.004169988,0.037240729,70.427832,0.001389996,88.74133,0
"10","B1611_M","3/6/16","8:45","M.a.lorentzi","M","B4","C4","6_M.a.lorentzi","N","Ornamented","M_Ornamented",0,0.18518057,NA,0.002661705,15.930076,0
"11","B1611_F","3/6/16","8:45","M.a.lorentzi","F","B4","C4","6_M.a.lorentzi","N","Ornamented","F_Ornamented",0.002661705,0.180889422,53.848694,0.001330852,49.445971,0
"12","B1612_M","3/6/16","9:45","M.a.lorentzi","M","B4","C2","1_M.a.lorentzi","N","Ornamented","M_Ornamented",0,0.244898341,NA,0,34.189606,0
"13","B1612_F","3/6/16","9:45","M.a.lorentzi","F","B4","C2","1_M.a.lorentzi","N","Ornamented","F_Ornamented",0.004353768,0.140767824,268.457009,0,260.618849,0
"14","B1613_F","3/6/16","16:15","M.a.lorentzi","F","B2","C2","4_M.a.lorentzi","Y","Ornamented","F_Ornamented",0,0.208995152,NA,0,42.467395,0
"15","B1614_M","3/7/16","6:55","M.a.lorentzi","M","B1","C2","3_M.a.lorentzi","N","Ornamented","M_Ornamented",0.002695562,0.396038551,623.53249,0,68.382106,0
"16","B1614_F","3/7/16","6:55","M.a.lorentzi","F","B1","C2","3_M.a.lorentzi","N","Ornamented","F_Ornamented",0.001347781,0.414593698,153.036984,0,103.203836,0
