"","Plasma.T.rd","Time.trap","Time.bled","Time.delay","FW.No","ABBBS.No.","Current.Colors","Year","Date","recap","Site","Bander","Sex","Sexed.how.","Age","Aged.how.","Plumage.Type","wing","tarsus","tail","Top.Culm","Brood.Patch","Shoulder.Area","Eyebrow","White.Chin","fat","Ectoparasites","Molt.wing","Molt.total","bird.weight","status","Breed.stage","Blood.hemato","Blood.plasma","Plasma.T","Molt.","Eccentric.molt.","Minimum.T.","Eggs","MTresid","logMTresid","Eyebrow.Length","Playback.Used.","index","Sample","pg.in.tube","recovery","total.pg","Plasma.mL","prop.in.assay","mL.in.tube","pg.mL","minTmerge","Subspecies","jul_date","Time_delay_sec","MoltYN","BreedYN","sunrise","Time.trap.sec","T_aft_sunrise","LPlasma.T","minT_compiled","andr.detected"
"1",68.88,"17:24:00","17:48:00","0:24:00","14-04104",36138,"YBE","2014","7/3/14",0,"Obo","EDE","F","Plum","1+","Skull","Brown",41.5,22.2,48.4,9.8,NA,NA,"H",NA,2,2,1,7,NA,NA,"Prebreed",33.9,45.3,68.87918461,0,"NO","yes",NA,NA,NA,NA,"N",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",184,1440,"Yes","No",21600,62640,41040,4.23235402221549,"yes",0
"2",74.07,"17:24:00","17:34:00","0:10:00","14-04103",36137,"WEO","2014","7/3/14",0,"Obo","EDE","F","Lab","0+","Plumage","Brown",41.5,20,51.5,10.5,NA,NA,NA,NA,1,1,0,5,6.8,NA,"Prebreed",31.8,35.3,74.06722158,0,NA,"yes",NA,NA,NA,NA,"N",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",184,600,"Yes","No",21600,62640,41040,4.30497308058856,"yes",0
"3",84.93,"9:25:00","9:33:00","0:08:00","14-04102",36136,"GBO","2014","7/3/14",0,"Obo","EDE","F","Plum","1+","Skull","Brown",42.7,21.7,46.8,9.7,"N",NA,"H",NA,1,1,1,6,6.92,NA,"Prebreed",35.8,35.5,84.92698734,0,"NO","yes",NA,-1.452373276,-0.18756871,NA,"N",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",184,480,"Yes","No",21600,33900,12300,4.44179191489148,"yes",0
"4",97.29,"8:45:00","8:53:00","0:08:00","14-04108",36141,"WYG","2014","7/4/14",0,"Obo","EDE","F","Plum","1+","Skull","Brown",39.7,21.9,47.2,10.8,"NO",NA,"H",NA,1,2,1,3,7.57,NA,"Prebreed",40.5,41.7,97.28724237,0,NA,"yes",NA,-0.89720516,-0.108913201,NA,"N",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",185,480,"Yes","No",21600,31500,9900,4.57766786415146,"yes",0
"5",114.78,"16:35:00","16:42:00","0:07:00","14-04003",36107,"EEE","2014","6/25/14",1,"Garuahi","EDE","F","S, BP","1+","Known","Black",43,21.5,44.5,11.3,NA,256.52,"L",NA,1,NA,0,0,8.36,"BF","Prebreed",26.7,33.7,114.7791245,0,NA,"yes",NA,0.177290492,0.024028394,NA,"N",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",176,420,"No","No",21600,59700,38100,4.74300962501565,"yes",0
"6",118.78,"9:48:00","10:10:00","0:22:00","14-04016",36120,"KEB","2014","7/13/14",1,"Garuahi","EDE","F","Known","1+","Known","Black",45.2,22,50.2,11.3,"No",271.86,"L","L",0,2,1,5,8.4,NA,"Prebreed",33.2,28.2,118.7779026,0,"NO","yes",NA,-0.185745016,-0.01863483,NA,"N",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",194,1320,"Yes","No",21600,35280,13680,4.77725538457695,"yes",0
"7",121.44,"17:03:00","17:07:00","0:04:00","14-04109",36142,"BOO","2014","7/4/14",0,"Obo","EDE","F","Plum","1+","Skull","Brown",44.3,21.9,45.7,9.4,"Possible",NA,"H",NA,2,0,1,8,7.64,NA,"Prebreed",30,34,121.4434816,0,NA,"yes",NA,-0.82720516,-0.099708665,NA,"N",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",185,240,"Yes","No",21600,61380,39780,4.79944898253808,"yes",0
"8",126.6,"17:13:00","17:25:00","0:12:00","14-04036",36154,"EBG","2014","7/16/14",0,"Garuahi","EDE","F","Plum","1+","Skull","Black",44.5,22,44.6,11.8,"S",216.48,"N","N",2,2,0,0,8.55,"BF","Build",26.3,25.1,126.601745,0,"NO","no",NA,0.035378898,0.00730215,NA,"N",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",197,720,"No","Yes",21600,61980,40380,4.84104629318538,"no",1
"9",135,"8:06:00","8:14:00","0:08:00","11-07026",11030,"BWO","2014","6/5/14",1,"Garuahi","EDE","F","Known","4+","Known","Black",45,22.9,46.8,11.5,NA,360.81,"L","N",0,1,0,2,8.66,NA,"Prebreed",26.1,24.7,134.9977981,0,NA,"yes",NA,-0.129633567,-0.011460137,NA,"N",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",156,480,"Yes","No",21600,29160,7560,4.90525846793504,"yes",0
"10",135.64,"15:50:00","15:56:00","0:06:00","12-04000",36001,"EOY","2014","7/15/14",1,"Garuahi","EDE","M","S, CP","3","Known","Glossy",45,23.4,43,11.9,"NO",234.96,"N","N",1,1,1,6,9.71,NA,"Prebreed",54.8,43.6,135.6409713,0,"YES","yes",NA,0.346234889,0.038731485,NA,"N",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",196,360,"Yes","No",21600,57000,35400,4.9100114780988,"yes",0
