"","Time_delay_sec","Sex","Subspecies","Plasma.T","LPlasma.T","jul_date","Time_delay_sec.1","T_aft_sunrise","ABBBS.No.","Year","andr.detected","minT_compiled"
"2",600,"F","M.a.lorentzi",74.06722158,4.30497308058856,184,600,41040,36137,2014,0,"yes"
"3",480,"F","M.a.lorentzi",84.92698734,4.44179191489148,184,480,12300,36136,2014,0,"yes"
"4",480,"F","M.a.lorentzi",97.28724237,4.57766786415146,185,480,9900,36141,2014,0,"yes"
"5",420,"F","M.a.moretoni",114.7791245,4.74300962501565,176,420,38100,36107,2014,0,"yes"
"7",240,"F","M.a.lorentzi",121.4434816,4.79944898253808,185,240,39780,36142,2014,0,"yes"
"8",480,"F","M.a.moretoni",134.9977981,4.90525846793504,156,480,7560,11030,2014,0,"yes"
"9",360,"M","M.a.moretoni",135.6409713,4.9100114780988,196,360,35400,36001,2014,0,"yes"
"11",540,"M","M.a.moretoni",158.2544294,5.06420405052199,157,540,6420,36041,2014,0,"yes"
"12",240,"F","M.a.moretoni",164.3928904,5.10225923594486,199,240,10200,11031,2014,1,"no"
"13",540,"F","M.a.moretoni",181.6697954,5.20219072823215,165,540,39000,11039,2014,0,"yes"
"15",360,"M","M.a.moretoni",193.8296693,5.26697978010249,177,360,36180,36132,2014,1,"no"
"16",600,"F","M.a.moretoni",228.8228071,5.4329479359189,164,600,1500,36032,2014,0,"yes"
"17",480,"F","M.a.moretoni",307.8346065,5.72956264685868,199,480,2520,36155,2014,1,"no"
"18",1080,"F","M.a.moretoni",333.1329415,5.80854163403558,173,1080,3480,36124,2014,0,"yes"
"19",1020,"F","M.a.moretoni",339.4410414,5.82730026888371,214,1020,1620,11026,2014,1,"no"
"20",840,"M","M.a.moretoni",389.1689453,5.9640135560184,161,840,40200,36097,2014,0,"yes"
"21",240,"M","M.a.moretoni",410.8396963,6.01820310508012,199,240,42180,36099,2014,1,"no"
"22",480,"F","M.a.moretoni",484.9407303,6.18402667790276,155,480,13920,36004,2014,1,"no"
"23",540,"F","M.a.moretoni",488.7914889,6.19193599547175,205,540,3240,36169,2014,1,"no"
"24",960,"F","M.a.moretoni",541.0941685,6.29359332746994,197,960,600,36103,2014,1,"no"
"25",720,"F","M.a.moretoni",696.8120183,6.54651567323685,177,720,4620,36126,2014,1,"no"
"26",240,"M","M.a.moretoni",1132.996053,7.03262077735027,196,240,1380,36040,2014,1,"no"
"27",600,"M","M.a.moretoni",1175.235948,7.06922421322778,195,600,6240,11024,2014,1,"no"
"28",780,"M","M.a.moretoni",2558.942817,7.8473494900719,168,780,3000,36121,2014,1,"no"
"29",366,"F","M.a.moretoni",59.13,4.07973840983274,47,366,2943,36163,2016,0,"yes"
"30",600,"F","M.a.moretoni",76.09,4.33191685018843,21,600,43620,47718,2016,0,"yes"
"31",293,"M","M.a.moretoni",82,4.40671924726425,59,293,12390,36128,2016,0,"yes"
"32",300,"F","M.a.lorentzi",92.21,4.52406858455105,67,300,41100,36142,2016,0,"yes"
"33",555,"F","M.a.moretoni",110.11,4.7014798661255,33,555,39120,47807,2016,1,"no"
"34",882,"F","M.a.lorentzi",160.23,5.07661028301979,68,882,9903,47631,2016,0,"yes"
"35",435,"F","M.a.lorentzi",177.35,5.17812518121963,73,435,40560,47623,2016,1,"no"
"36",720,"F","M.a.lorentzi",187.8,5.23537756677416,74,720,16500,47691,2016,1,"no"
"37",195,"M","M.a.moretoni",193.51,5.26532919072106,17,195,11070,47801,2016,1,"no"
"38",445,"F","M.a.lorentzi",206.96,5.33252553787777,68,445,13620,47680,2016,1,"no"
"39",420,"F","M.a.lorentzi",219.92,5.39326384385699,67,420,42000,47677,2016,1,"no"
"40",540,"F","M.a.moretoni",223.57,5.40972456412217,54,540,1740,47745,2016,1,"no"
"41",327,"M","M.a.moretoni",230.17,5.4388181663356,70,327,3527,36157,2016,1,"no"
"42",327,"F","M.a.moretoni",232.04,5.44690977059786,52,327,3720,36126,2016,1,"no"
"43",240,"F","M.a.lorentzi",239.22,5.47738363062132,75,240,8100,33215,2016,1,"no"
"44",338,"M","M.a.moretoni",445.65,6.09953389057673,51,338,7222,47816,2016,1,"no"
"45",320,"F","M.a.moretoni",447.91,6.10459231937617,33,320,43800,47707,2016,1,"no"
"46",215,"F","M.a.moretoni",449.73,6.10864740269233,46,215,43263,47823,2016,1,"no"
"47",660,"M","M.a.lorentzi",472.66,6.15837631395214,73,660,6180,47632,2016,1,"no"
"48",288,"M","M.a.moretoni",584.65,6.37101337758633,80,288,9042,47743,2016,1,"no"
"49",540,"M","M.a.moretoni",605.1,6.40539373362828,54,540,3180,36131,2016,1,"no"
"50",420,"F","M.a.lorentzi",606.06,6.40697899106915,74,420,15300,47654,2016,1,"no"
"51",300,"F","M.a.moretoni",621.48,6.4321037302238,59,300,9570,36169,2016,1,"no"
"52",490,"M","M.a.moretoni",653.1,6.48173025690861,33,490,9440,47719,2016,1,"no"
"53",235,"M","M.a.moretoni",654.57,6.48397853150267,33,235,3440,47760,2016,1,"no"
"54",570,"M","M.a.moretoni",746.06,6.61480602592395,38,570,40650,36192,2016,1,"no"
"55",660,"M","M.a.lorentzi",878.91,6.77868250336456,74,660,15300,47694,2016,1,"no"
"56",345,"M","M.a.moretoni",959.3,6.8662038518239,34,345,38895,47731,2016,1,"no"
"57",375,"F","M.a.moretoni",1156.34,7.05301512363527,54,375,10245,47741,2016,1,"no"
"58",546,"M","M.a.moretoni",1294.29,7.16571756123451,47,546,2943,36173,2016,1,"no"
"59",205,"M","M.a.lorentzi",1329.79,7.19277631401227,74,205,16330,47690,2016,1,"no"
"60",336,"M","M.a.moretoni",1758.77,7.47236998007681,66,336,1160,47822,2016,1,"no"
"61",300,"M","M.a.lorentzi",2859.91,7.95854543478729,67,300,40080,36143,2016,1,"no"
"62",595,"M","M.a.lorentzi",6025.95,8.70383042227779,74,595,15660,47655,2016,1,"no"
"63",180,"F","M.a.moretoni",109.1020831,4.69228398614896,177,180,36180,36133,2014,1,"no"
"64",420,"F","M.a.moretoni",117.4978124,4.76641971553856,203,420,2280,36156,2014,1,"no"
"65",480,"M","M.a.moretoni",137.8970038,4.92650705722456,207,480,40080,36174,2014,1,"no"
"66",180,"M","M.a.moretoni",229.9888061,5.43803063860838,203,180,39900,36164,2014,1,"no"
"67",120,"M","M.a.moretoni",241.6869332,5.48764322418763,203,120,3000,36157,2014,1,"no"
"68",420,"M","M.a.moretoni",272.4178075,5.60733694475246,204,420,1500,36165,2014,1,"no"
"69",840,"M","M.a.lorentzi",312.209172,5.74367338625325,185,840,39780,36143,2014,1,"no"
"70",480,"M","M.a.moretoni",329.5665028,5.79777816301628,207,480,36420,36171,2014,1,"no"
"71",600,"M","M.a.moretoni",362.4303112,5.89283221084778,175,600,1740,36047,2014,1,"no"
"73",540,"M","M.a.moretoni",435.0350125,6.0754265163554,177,540,29760,36131,2014,1,"no"
"74",300,"M","M.a.moretoni",773.6764847,6.65115380778862,197,300,9600,36053,2014,1,"no"
"75",720,"M","M.a.moretoni",795.2521294,6.67865920827421,209,720,40920,36177,2014,1,"no"
"76",300,"F","M.a.moretoni",842.5216938,6.73639941121252,203,300,39240,36163,2014,1,"no"
"77",780,"M","M.a.moretoni",991.6699863,6.89939037683543,203,780,10680,36161,2014,1,"no"
"78",360,"M","M.a.moretoni",1127.890252,7.02810413299836,193,360,12600,36112,2014,1,"no"
"79",420,"M","M.a.moretoni",2132.682038,7.66513563938024,204,420,6600,36166,2014,1,"no"
"80",300,"M","M.a.moretoni",84.78,4.44005966592449,255,300,41820,11018,2015,1,"no"
"81",210,"F","M.a.moretoni",98.96,4.59471572808423,220,210,1920,36172,2015,1,"no"
"82",145,"M","M.a.moretoni",117.93,4.77009122810188,224,145,12270,36127,2015,1,"no"
"83",145,"M","M.a.moretoni",134.77,4.90356962178107,205,145,14520,36098,2015,1,"no"
"84",265,"M","M.a.moretoni",147.33,4.99267496871926,319,265,11145,47759,2015,1,"no"
"85",385,"M","M.a.lorentzi",149.71,5.00870008946175,183,385,12240,47606,2015,1,"no"
"86",180,"F","M.a.lorentzi",150.32,5.01276635510521,183,180,13020,47626,2015,1,"no"
"87",345,"F","M.a.moretoni",154.69,5.04142311424857,215,345,360,11019,2015,1,"no"
"88",60,"F","M.a.moretoni",161.03,5.0815906830299,280,60,10020,36186,2015,1,"no"
"89",109,"M","M.a.moretoni",170.34,5.13779643971294,317,109,7380,36122,2015,1,"no"
"90",120,"M","M.a.moretoni",189.96,5.24681352368092,269,120,1260,36166,2015,1,"no"
"91",180,"M","M.a.moretoni",191.18,5.25321539263562,245,180,41640,36090,2015,1,"no"
"92",220,"M","M.a.moretoni",191.99,5.25744328733806,324,220,35355,36131,2015,1,"no"
