"","Subspecies","Song_actual","Mbinresp","Fbinresp","Filename"
"1","M.a.moretoni","3_MB",1,0,"M1605"
"2","M.a.moretoni","5_MB",1,1,"M1606"
"3","M.a.moretoni","5_MB",1,1,"M1607"
"4","M.a.moretoni","3_MB",1,1,"M1608"
"5","M.a.moretoni","1_MB",1,0,"M1609"
"6","M.a.moretoni","2_MB",0,0,"M1610"
"7","M.a.moretoni","2_MB",1,1,"M1611"
"8","M.a.moretoni","3_MB",1,1,"M1612"
"9","M.a.moretoni","3_MB",1,1,"M1613"
"10","M.a.moretoni","6_MB",1,1,"M1614"
"11","M.a.moretoni","3_MB",1,1,"M1615"
"12","M.a.moretoni","6_MB",1,1,"M1616"
"13","M.a.moretoni","2_MB",1,1,"M1617"
"14","M.a.moretoni","1_MB",1,1,"M1618"
"15","M.a.moretoni","3_MB",0,0,"M1621"
"16","M.a.moretoni","5_MB",0,0,"M1622"
"17","M.a.moretoni","5_MB",1,1,"M1623"
"18","M.a.moretoni","6_MB",1,1,"M1624"
"19","M.a.moretoni","6_MB",1,1,"M1625"
"20","M.a.moretoni","1_MB",1,1,"M1626"
"21","M.a.moretoni","1_MB",1,1,"M1627"
"22","M.a.moretoni","5_MB",1,0,"M1628"
"23","M.a.moretoni","1_MB",1,1,"M1629"
"24","M.a.moretoni","1_MB",0,0,"M1630"
"25","M.a.moretoni","6_MB",1,1,"M1631"
"26","M.a.moretoni","6_MB",1,1,"M1632"
"27","M.a.moretoni","5_MB",1,1,"M1633"
"28","M.a.moretoni","3_MB",0,0,"M1634"
"29","M.a.moretoni","5_MB",1,1,"M1635"
"30","M.a.moretoni","3_MB",1,1,"M1636"
"31","M.a.moretoni","2_MB",0,0,"M1637"
"32","M.a.moretoni","5_MB",1,1,"M1638"
"33","M.a.moretoni","5_MB",1,0,"M1639"
"34","M.a.moretoni","2_MB",1,0,"M1640"
"35","M.a.moretoni","5_MB",1,1,"M1642"
"36","M.a.moretoni","3_MB",1,1,"M1643"
"37","M.a.moretoni","5_MB",1,1,"M1644"
"38","M.a.moretoni","2_MB",1,1,"M1645"
"39","M.a.moretoni","6_MB",1,1,"M1646"
"40","M.a.moretoni","1_MB",1,1,"M1647"
"41","M.a.moretoni","5_MB",1,1,"M1648"
"42","M.a.moretoni","6_MB",1,1,"M1649"
"43","M.a.moretoni","2_MB",1,1,"M1650"
"44","M.a.moretoni","3_MB",1,1,"M1651"
"45","M.a.lorentzi","2_WP",1,1,"B1601"
"46","M.a.lorentzi","1_WP",1,1,"B1602"
"47","M.a.lorentzi","1_WP",0,0,"B1603"
"48","M.a.lorentzi","2_WP",1,1,"B1605"
"49","M.a.lorentzi","1_WP",0,1,"B1606"
"50","M.a.lorentzi","2_WP",0,0,"B1607"
"51","M.a.lorentzi","1_WP",0,0,"B1609"
"52","M.a.lorentzi","6_WP",1,1,"B1610"
"53","M.a.lorentzi","6_WP",1,1,"B1611"
"54","M.a.lorentzi","1_WP",1,1,"B1612"
"55","M.a.lorentzi","4_WP",0,1,"B1613"
"56","M.a.lorentzi","3_WP",1,1,"B1614"
"57","M.a.lorentzi","1_WP",1,1,"B1615"
"58","M.a.lorentzi","3_WP",1,1,"B1616"
"59","M.a.lorentzi","6_WP",1,0,"B1617"
"60","M.a.lorentzi","6_WP",1,1,"B1618"
"61","M.a.lorentzi","6_WP",1,1,"B1619"
"62","M.a.lorentzi","1_WP",0,1,"B1620"
"63","M.a.lorentzi","4_WP",1,1,"B1621"
"64","M.a.lorentzi","6_WP",1,1,"B1622"
"65","M.a.lorentzi","4_WP",0,0,"B1623"
"66","M.a.lorentzi","6_WP",1,1,"B1626"
"67","M.a.lorentzi","1_WP",0,1,"B1627"
"68","M.a.lorentzi","2_WP",0,0,"B1628"
"69","M.a.lorentzi","1_WP",1,1,"B1630"
"70","M.a.lorentzi","3_WP",0,0,"B1631"
"71","M.a.lorentzi","3_WP",1,1,"B1632"
"72","M.a.lorentzi","6_WP",1,1,"B1633"
"73","M.a.lorentzi","6_WP",0,0,"B1635"
"74","M.a.lorentzi","3_WP",1,1,"B1636"
"75","M.a.lorentzi","3_WP",0,0,"B1637"
